BPM,RMSSD,Propofol_Level
69.0,5.718842052281678,3.103
69.0,5.220564658073022,3.103
69.0,5.220564658073022,3.103
69.0,5.220564658073022,3.103
68.0,5.718842052281678,3.103
68.0,5.718842052281678,3.103
68.0,5.220564658073022,3.103
68.0,5.220564658073022,3.103
68.0,5.220564658073022,3.103
68.0,4.66941498255369,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
69.0,4.043831995703167,3.103
69.0,4.043831995703167,3.103
69.0,4.043831995703167,3.103
69.0,4.043831995703167,3.103
69.0,4.043831995703167,3.103
68.0,4.66941498255369,3.103
68.0,4.66941498255369,3.103
68.0,4.66941498255369,3.103
68.0,4.66941498255369,3.103
68.0,4.66941498255369,3.103
68.0,4.66941498255369,3.103
68.0,4.66941498255369,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,4.043831995703167,3.103
68.0,3.3017749983377787,3.103
68.0,3.3017749983377787,3.103
68.0,3.3017749983377787,3.104
68.0,3.3017749983377787,3.104
69.0,4.043831995703167,3.104
68.0,4.66941498255369,3.104
68.0,4.66941498255369,3.104
69.0,5.220564658073022,3.103
69.0,5.220564658073022,3.103
69.0,5.220564658073022,3.103
69.0,5.220564658073022,3.103
69.0,5.220564658073022,3.103
69.0,4.66941498255369,3.103
69.0,4.66941498255369,3.103
69.0,4.66941498255369,3.103
68.0,5.220564658073022,3.103
68.0,5.220564658073022,3.103
68.0,4.66941498255369,3.103
68.0,4.66941498255369,3.103
67.0,5.252101368654369,3.103
68.0,5.776305159351029,3.103
68.0,5.776305159351029,3.103
68.0,5.776305159351029,3.103
68.0,5.776305159351029,3.103
68.0,5.776305159351029,3.103
68.0,5.776305159351029,3.103
68.0,5.776305159351029,3.103
68.0,5.776305159351029,3.103
67.0,6.256743066585804,3.103
68.0,6.702832707788085,3.103
68.0,6.702832707788085,3.103
68.0,6.702832707788085,3.103
68.0,6.702832707788085,3.103
68.0,6.702832707788085,3.103
68.0,6.283081030734008,3.103
68.0,5.833202222531404,3.103
